example_id                                                | status | run_time        |
--------------------------------------------------------- | ------ | --------------- |
./spec/integration/full_workflow_spec.rb[1:1]             | failed | 0.0091 seconds  |
./spec/integration/full_workflow_spec.rb[1:2]             | passed | 0.00274 seconds |
./spec/integration/full_workflow_spec.rb[1:3]             | failed | 0.00883 seconds |
./spec/integration/full_workflow_spec.rb[1:4]             | failed | 0.00889 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:1]              | passed | 0.00057 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:2]              | passed | 0.0005 seconds  |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:3]              | passed | 0.00083 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:4]              | passed | 0.00155 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:5]              | passed | 0.00038 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:6]              | passed | 0.00051 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:7]              | passed | 0.00073 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:8]              | passed | 0.00086 seconds |
./spec/ruby_llm/code/code/cli_spec.rb[1:1:9]              | failed | 0.00091 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:1:1]           | failed | 0.00029 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:1:2]           | failed | 0.00033 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:2:1]           | failed | 0.00052 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:3:1]           | passed | 0.00032 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:3:2]           | passed | 0.00035 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:4:1]           | passed | 0.00066 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:4:2]           | passed | 0.00027 seconds |
./spec/ruby_llm/code/code/config_spec.rb[1:5:1]           | passed | 0.00073 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:1:1]           | passed | 0.00108 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:1:2]           | passed | 0.0013 seconds  |
./spec/ruby_llm/code/code/memory_spec.rb[1:2:1]           | passed | 0.00026 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:2:2]           | passed | 0.00165 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:3:1]           | passed | 0.00088 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:4:1]           | passed | 0.00085 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:5:1]           | passed | 0.00179 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:6:1]           | passed | 0.00114 seconds |
./spec/ruby_llm/code/code/memory_spec.rb[1:6:2]           | passed | 0.00084 seconds |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:1]       | failed | 0.0049 seconds  |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:2]       | failed | 0.0078 seconds  |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:3]       | failed | 0.00507 seconds |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:4]       | failed | 0.00494 seconds |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:5]       | failed | 0.00286 seconds |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:6]       | failed | 0.00302 seconds |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:7]       | failed | 0.00503 seconds |
./spec/ruby_llm/code/code/tools/grep_spec.rb[1:1:8]       | failed | 0.00492 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:1]  | failed | 0.00036 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:2]  | failed | 0.00035 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:3]  | failed | 0.0005 seconds  |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:4]  | failed | 0.0004 seconds  |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:5]  | failed | 0.00032 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:6]  | failed | 0.00038 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:1:7]  | failed | 0.00049 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:2:1]  | failed | 0.00142 seconds |
./spec/ruby_llm/code/code/tools/read_file_spec.rb[1:2:2]  | failed | 0.00031 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:1]      | failed | 0.00159 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:2]      | failed | 0.00501 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:3]      | failed | 0.00048 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:4]      | failed | 5 seconds       |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:5]      | failed | 0.00111 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:6]      | failed | 0.00125 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:7]      | failed | 0.00039 seconds |
./spec/ruby_llm/code/code/tools/shell_spec.rb[1:1:8]      | failed | 0.00063 seconds |
./spec/ruby_llm/code/code/tools/write_file_spec.rb[1:1:1] | failed | 0.00038 seconds |
./spec/ruby_llm/code/code/tools/write_file_spec.rb[1:1:2] | failed | 0.00053 seconds |
./spec/ruby_llm/code/code/tools/write_file_spec.rb[1:1:3] | failed | 0.00028 seconds |
./spec/ruby_llm/code/code/tools/write_file_spec.rb[1:1:4] | failed | 0.00057 seconds |
./spec/ruby_llm/code/code/tools/write_file_spec.rb[1:1:5] | failed | 0.00072 seconds |
./spec/ruby_llm/code/code/workspace_spec.rb[1:1:1]        | passed | 0.00021 seconds |
./spec/ruby_llm/code/code/workspace_spec.rb[1:1:2]        | passed | 0.00018 seconds |
./spec/ruby_llm/code/code/workspace_spec.rb[1:2:1]        | passed | 0.00024 seconds |
./spec/ruby_llm/code/code/workspace_spec.rb[1:2:2]        | failed | 0.00027 seconds |
./spec/ruby_llm/code/code/workspace_spec.rb[1:3:1]        | passed | 0.00018 seconds |
